variables,Author 1,Author 2,is_equal,final_discussion,agreed_after_discussion,Source
/user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590.,path,path,TRUE,path,,HDFS
/user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742.,path,path,TRUE,path,,HDFS
/user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487.,path,path,TRUE,path,,HDFS
/user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648.,path,path,TRUE,path,,HDFS
/user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866.,path,path,TRUE,path,,HDFS
/mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,path,path,TRUE,path,,HDFS
/user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296.,path,path,TRUE,path,,HDFS
/user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-00230.,path,path,TRUE,path,,HDFS
/user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-00169.,path,path,TRUE,path,,HDFS
/user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-00318.,path,path,TRUE,path,,HDFS
/user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-00318.,path,path,TRUE,path,,HDFS
/user/root/sortrand/_temporary/_task_200811092030_0002_r_000138_0/part-00138.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_000382_0/part-00382.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_000392_0/part-00392.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_000675_0/part-00675.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_000705_0/part-00705.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_001095_0/part-01095.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_001365_0/part-01365.,path,path,TRUE,path,,HDFS
/user/root/randtxt/_temporary/_task_200811092030_0003_m_001506_0/part-01506.,path,path,TRUE,path,,HDFS
