,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.62,1.43,2.37,3.42,8.36,7.1,13.22,16.54,6.07,32.72,1501.95,3843.83,214.66,726.37,455.69
identified_templates,9,344,26,74,290,27975,32,128,548,41,350,7706,360,42,2708.93
ground_templates,11,338,29,89,236,156,48,74,626,38,236,1241,320,46,249.143
GA,0.352,0.225,0.805,0.839,0.827,0.804,0.669,0.728,0.592,0.155,0.601,0.378,0.733,0.748,0.604
PA,0,0.033,0.637,0.346,0.432,0.306,0.008,0.692,0.227,0.054,0.364,0.04,0.228,0.153,0.251
FGA,0.4,0.739,0.873,0.626,0.65,0.008,0.6,0.347,0.646,0.506,0.526,0.173,0.432,0.818,0.525
PTA,0,0.078,0.269,0.243,0.107,0.001,0.094,0.172,0.091,0.146,0.051,0.01,0.05,0.048,0.097
RTA,0,0.08,0.241,0.202,0.131,0.256,0.062,0.297,0.08,0.158,0.076,0.061,0.056,0.043,0.125
FTA,0,0.079,0.255,0.221,0.118,0.003,0.075,0.218,0.085,0.152,0.061,0.017,0.053,0.045,0.099
