,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.77,1.38,2.21,2.43,8.08,5.58,12.66,13.39,5.32,19.71,791.87,1039.09,150.33,424.88,177.05
identified_templates,2958.0,1596.0,11828.0,1044.0,36099.0,37790.0,31043.0,1522.0,8586.0,4649.0,2934363.0,332409.0,115399.0,1480444.0,357123.571
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.661,0.595,0.547,0.737,0.481,0.731,0.685,0.725,0.462,0.216,0.413,0.415,0.756,0.558,0.57
PA,0.0,0.023,0.031,0.456,0.052,0.023,0.01,0.642,0.115,0.033,0.002,0.037,0.088,0.0,0.108
FGA,0.001,0.292,0.003,0.088,0.005,0.006,0.001,0.046,0.068,0.006,0.0,0.005,0.003,0.0,0.037
PTA,0.0,0.039,0.001,0.026,0.001,0.001,0.0,0.016,0.01,0.001,0.0,0.001,0.0,0.0,0.007
RTA,0.0,0.183,0.241,0.303,0.136,0.231,0.042,0.324,0.131,0.158,0.199,0.176,0.134,0.0,0.161
FTA,0.0,0.064,0.001,0.048,0.002,0.002,0.0,0.03,0.018,0.003,0.0,0.001,0.001,0.0,0.012
