,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,9.0,331.0,21.0,48.0,193.0,27954.0,7215.0,141.0,3319.0,32.0,197.0,7331.0,334.0,43.0,3369.143
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.984,0.779,1.0,0.989,0.932,0.865,0.509,0.48,0.722,0.574,0.888,0.843,0.921,0.999,0.82
PA,0.978,0.091,0.718,0.71,0.561,0.305,0.037,0.278,0.315,0.803,0.394,0.216,0.357,0.621,0.456
FGA,0.824,0.745,1.0,0.879,0.935,0.008,0.005,0.453,0.19,0.839,0.816,0.2,0.589,0.93,0.601
PTA,0.667,0.051,0.381,0.521,0.389,0.001,0.001,0.078,0.021,0.406,0.279,0.016,0.09,0.651,0.254
RTA,0.75,0.069,0.381,0.424,0.395,0.181,0.119,0.224,0.164,0.433,0.318,0.124,0.115,0.651,0.311
FTA,0.706,0.059,0.381,0.467,0.392,0.001,0.001,0.116,0.037,0.419,0.297,0.028,0.101,0.651,0.261
