,0,1,2,3,4,5,6,7,8,9,10,11,12
Dataset,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,73.0,7.0,24.0,32.0,35.0,2.0,23.0,83.0,6.0,47.0,221.0,39.0,49.333
ground_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,87.0,6.0,47.0,228.0,43.0,51.917
GA,0.856,1.0,0.999,0.995,0.713,1.0,0.993,0.978,1.0,1.0,0.967,0.953,0.954
PA,0.289,0.854,0.998,0.874,0.713,0.0,0.993,0.35,0.0,0.982,0.303,0.935,0.608
FGA,0.866,1.0,0.902,0.969,0.958,1.0,0.936,0.953,1.0,1.0,0.953,0.829,0.947
PTA,0.411,0.286,0.875,0.844,0.971,0.0,0.957,0.47,0.167,0.872,0.511,0.692,0.588
RTA,0.357,0.286,0.778,0.844,0.944,0.0,0.917,0.448,0.167,0.872,0.496,0.628,0.561
FTA,0.382,0.286,0.824,0.844,0.958,0.0,0.936,0.459,0.167,0.872,0.503,0.659,0.574
