,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,416.0,251.0,23.0,47.0,242.0,116.0,2098.0,139.0,658.0,36.0,450.0,1102.0,254.0,37.0,419.214
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.716,0.927,0.993,0.989,0.917,0.983,0.705,0.421,0.568,0.552,0.723,0.747,0.893,0.961,0.793
PA,0.0,0.054,0.231,0.047,0.134,0.151,0.0,0.007,0.045,0.0,0.342,0.093,0.283,0.0,0.099
FGA,0.024,0.801,0.864,0.83,0.773,0.888,0.026,0.298,0.569,0.727,0.44,0.72,0.661,0.75,0.598
PTA,0.0,0.024,0.13,0.106,0.149,0.052,0.0,0.022,0.021,0.0,0.071,0.031,0.051,0.0,0.047
RTA,0.0,0.024,0.143,0.085,0.189,0.052,0.0,0.061,0.033,0.0,0.185,0.037,0.05,0.0,0.061
FTA,0.0,0.024,0.136,0.094,0.167,0.052,0.0,0.032,0.026,0.0,0.103,0.034,0.051,0.0,0.051
