,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,7.0,252.0,18.0,45.0,194.0,27938.0,27.0,69.0,371.0,34.0,300.0,7390.0,296.0,39.0,2641.429
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.28,0.238,0.799,0.717,0.819,0.813,0.425,0.296,0.559,0.094,0.601,0.371,0.772,0.748,0.538
PA,0.0,0.032,0.629,0.118,0.491,0.299,0.017,0.211,0.206,0.079,0.365,0.044,0.253,0.153,0.207
FGA,0.4,0.779,0.821,0.596,0.698,0.005,0.58,0.271,0.643,0.5,0.469,0.132,0.385,0.805,0.506
PTA,0.0,0.044,0.222,0.222,0.139,0.0,0.111,0.072,0.062,0.176,0.05,0.003,0.044,0.051,0.085
RTA,0.0,0.045,0.19,0.169,0.142,0.112,0.071,0.102,0.055,0.2,0.087,0.026,0.05,0.047,0.093
FTA,0.0,0.044,0.205,0.192,0.141,0.001,0.087,0.085,0.058,0.188,0.063,0.006,0.047,0.049,0.083
