,0,1,2,3,4,5,6,7,8,9,10,11,12
Dataset,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,83.0,6.0,47.0,221.0,43.0,51.0
ground_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,87.0,6.0,47.0,228.0,43.0,51.917
GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.962,1.0,1.0,0.921,1.0,0.99
PA,0.645,1.0,1.0,1.0,1.0,1.0,1.0,0.962,1.0,1.0,0.921,1.0,0.961
FGA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.953,1.0,1.0,0.976,1.0,0.994
PTA,0.738,1.0,1.0,1.0,1.0,1.0,1.0,0.976,1.0,1.0,0.991,1.0,0.975
RTA,0.738,1.0,1.0,1.0,1.0,1.0,1.0,0.931,1.0,1.0,0.961,1.0,0.969
FTA,0.738,1.0,1.0,1.0,1.0,1.0,1.0,0.953,1.0,1.0,0.976,1.0,0.972
