,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,2818.0,489.0,1.0,195.0,2822.0,60.0,4.0,708.0,3095.0,37.0,48088.0,98272.0,36076.0,70.0,13766.786
ground_templates,3.0,8.0,1.0,3.0,14.0,4.0,4.0,1.0,117.0,2.0,16.0,95.0,17.0,3.0,20.571
GA,0.0,0.008,1.0,0.086,0.0,0.0,0.9,0.0,0.272,0.0,0.0,0.253,0.004,0.0,0.18
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGA,0.0,0.012,1.0,0.01,0.001,0.0,0.25,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.092
PTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
