,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,HDFS,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,33.0,2.0,8.0,23.0,18.0,4.0,7.0,62.0,3.0,4.0,23.0,124.0,31.0,24.5
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,4.0,23.0,124.0,32.0,24.357
GA,1.0,1.0,1.0,1.0,1.0,0.892,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.85,0.981
PA,1.0,0.359,0.0,0.583,0.235,0.486,0.286,0.143,0.113,0.667,0.8,0.244,0.242,0.225,0.384
FGA,1.0,1.0,1.0,1.0,1.0,0.848,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.825,0.976
PTA,1.0,0.303,0.0,0.625,0.174,0.278,0.5,0.143,0.113,0.667,0.75,0.217,0.242,0.258,0.376
RTA,1.0,0.303,0.0,0.625,0.174,0.333,0.5,0.143,0.113,0.667,0.75,0.217,0.242,0.25,0.38
FTA,1.0,0.303,0.0,0.625,0.174,0.303,0.5,0.143,0.113,0.667,0.75,0.217,0.242,0.254,0.378
