,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,33.0,2.0,6.0,22.0,18.0,4.0,7.0,61.0,3.0,25.0,120.0,30.0,4.0,24.0
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,1.0,0.897,1.0,0.583,0.853,0.892,1.0,0.714,0.887,1.0,0.902,0.903,0.863,0.7,0.871
PA,0.0,0.179,0.0,0.333,0.118,0.486,0.0,0.143,0.048,0.333,0.049,0.153,0.15,0.0,0.142
FGA,1.0,0.939,1.0,0.571,0.889,0.848,1.0,0.714,0.894,1.0,0.875,0.918,0.839,0.5,0.856
PTA,0.0,0.152,0.0,0.333,0.091,0.278,0.0,0.143,0.049,0.333,0.08,0.158,0.2,0.0,0.13
RTA,0.0,0.152,0.0,0.25,0.087,0.333,0.0,0.143,0.048,0.333,0.087,0.153,0.188,0.0,0.127
FTA,0.0,0.152,0.0,0.286,0.089,0.303,0.0,0.143,0.049,0.333,0.083,0.156,0.194,0.0,0.128
