,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,33.0,2.0,6.0,23.0,17.0,4.0,7.0,57.0,2.0,23.0,120.0,31.0,4.0,23.571
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,0.0,0.872,1.0,0.583,0.882,0.73,1.0,0.286,0.661,0.333,0.854,0.79,0.8,0.8,0.685
PA,0.0,0.128,0.0,0.0,0.0,0.486,0.143,0.0,0.016,0.0,0.0,0.137,0.013,0.0,0.066
FGA,0.0,0.909,1.0,0.571,0.87,0.625,1.0,0.286,0.689,0.4,0.826,0.803,0.73,0.75,0.676
PTA,0.0,0.091,0.0,0.0,0.0,0.294,0.25,0.0,0.018,0.0,0.0,0.142,0.032,0.0,0.059
RTA,0.0,0.091,0.0,0.0,0.0,0.333,0.25,0.0,0.016,0.0,0.0,0.137,0.031,0.0,0.061
FTA,0.0,0.091,0.0,0.0,0.0,0.312,0.25,0.0,0.017,0.0,0.0,0.139,0.032,0.0,0.06
