,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.7,2.07,3.32,4.17,14.46,10.58,20.46,16.79,10.13,36.89,1442.29,7500.12,344.03,824.81,736.031
identified_templates,12,402,30,77,239,159,124,135,760,39,249,1414,299,45,284.5
ground_templates,11,338,29,89,236,156,48,74,626,38,236,1241,320,46,249.143
GA,0.989,0.71,0.976,0.994,0.94,0.993,0.316,0.793,0.855,0.707,0.889,0.829,0.927,0.949,0.847
PA,0.994,0.121,0.838,0.824,0.651,0.663,0.142,0.852,0.482,0.649,0.666,0.496,0.884,0.669,0.638
FGA,0.87,0.857,0.949,0.904,0.947,0.946,0.279,0.584,0.828,0.883,0.866,0.844,0.759,0.901,0.815
PTA,0.833,0.483,0.667,0.792,0.573,0.623,0.113,0.437,0.374,0.872,0.546,0.463,0.622,0.444,0.561
RTA,0.909,0.574,0.69,0.685,0.581,0.635,0.292,0.797,0.454,0.895,0.576,0.528,0.581,0.435,0.617
FTA,0.87,0.524,0.678,0.735,0.577,0.629,0.163,0.565,0.41,0.883,0.561,0.493,0.601,0.44,0.581
