,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.25,1.54,2.34,3.3,11.56,7.19,14.65,13.37,7.27,27.92,2208.67,24590.48,173.83,1331.94,2028.23
identified_templates,17,311,32,69,235,147,41,126,590,39,400,1451,288,43,270.643
ground_templates,11,338,29,89,236,156,48,74,626,38,236,1241,320,46,249.143
GA,0.504,0.661,0.969,0.991,0.906,0.617,0.375,0.738,0.684,0.778,0.721,0.7,0.891,0.909,0.746
PA,0.48,0.039,0.36,0.792,0.228,0.159,0.011,0.646,0.092,0.253,0.503,0.202,0.734,0.443,0.353
FGA,0.357,0.82,0.852,0.81,0.904,0.719,0.697,0.51,0.78,0.857,0.585,0.715,0.717,0.831,0.725
PTA,0.118,0.167,0.188,0.565,0.374,0.293,0.049,0.206,0.129,0.256,0.23,0.147,0.417,0.279,0.244
RTA,0.182,0.154,0.207,0.438,0.373,0.276,0.042,0.351,0.121,0.263,0.39,0.172,0.375,0.261,0.258
FTA,0.143,0.16,0.197,0.494,0.374,0.284,0.045,0.26,0.125,0.26,0.289,0.158,0.395,0.27,0.247
