,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.14,1.44,2.12,2.97,10.74,5.87,13.26,11.13,6.7,23.77,1069.56,2943.76,146.95,653.0,349.458
identified_templates,9.0,247.0,27.0,66.0,219.0,131.0,39.0,112.0,487.0,38.0,230.0,1123.0,266.0,42.0,216.857
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.352,0.633,0.38,0.98,0.84,0.932,0.204,0.728,0.555,0.272,0.412,0.335,0.813,0.697,0.581
PA,0.0,0.028,0.152,0.35,0.417,0.484,0.022,0.753,0.159,0.111,0.169,0.05,0.598,0.0,0.235
FGA,0.4,0.68,0.75,0.71,0.782,0.746,0.46,0.376,0.642,0.579,0.67,0.641,0.594,0.795,0.63
PTA,0.0,0.166,0.296,0.258,0.137,0.435,0.154,0.196,0.131,0.158,0.043,0.107,0.169,0.024,0.162
RTA,0.0,0.121,0.276,0.191,0.127,0.365,0.125,0.297,0.102,0.158,0.042,0.097,0.141,0.022,0.147
FTA,0.0,0.14,0.286,0.219,0.132,0.397,0.138,0.237,0.115,0.158,0.043,0.102,0.154,0.023,0.153
