,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.1,1.36,2.08,2.28,9.27,4.23,12.11,5.58,5.77,16.21,709.31,1071.58,105.8,448.24,171.066
identified_templates,3355.0,1596.0,12201.0,866.0,33460.0,10360.0,49984.0,1558.0,7146.0,3933.0,2951114.0,308233.0,115331.0,1307703.0,343345.714
ground_templates,11.0,338.0,29.0,89.0,236.0,156.0,48.0,74.0,626.0,38.0,236.0,1241.0,320.0,46.0,249.143
GA,0.479,0.595,0.146,0.954,0.435,0.86,0.249,0.744,0.636,0.276,0.547,0.408,0.815,0.864,0.572
PA,0.479,0.023,0.421,0.806,0.052,0.534,0.068,0.839,0.368,0.283,0.403,0.204,0.776,0.585,0.417
FGA,0.001,0.292,0.003,0.113,0.004,0.021,0.001,0.047,0.083,0.008,0.0,0.004,0.003,0.0,0.041
PTA,0.0,0.039,0.001,0.043,0.001,0.004,0.0,0.019,0.015,0.004,0.0,0.001,0.0,0.0,0.009
RTA,0.091,0.183,0.276,0.416,0.131,0.256,0.062,0.405,0.176,0.395,0.212,0.181,0.156,0.087,0.216
FTA,0.001,0.064,0.001,0.077,0.002,0.008,0.0,0.037,0.028,0.008,0.0,0.001,0.001,0.0,0.016
