,0,1,2,3,4,5,6,7,8,9,10,11,12
Dataset,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,84.0,7.0,26.0,32.0,35.0,2.0,21.0,87.0,6.0,47.0,226.0,42.0,51.25
ground_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,87.0,6.0,47.0,228.0,43.0,51.917
GA,1.0,1.0,0.999,1.0,0.713,1.0,0.969,1.0,1.0,1.0,0.992,0.965,0.97
PA,0.973,1.0,0.999,0.998,0.713,1.0,0.969,1.0,1.0,1.0,0.992,0.965,0.967
FGA,1.0,1.0,0.943,1.0,0.958,1.0,0.8,1.0,1.0,1.0,0.987,0.941,0.969
PTA,0.976,1.0,0.923,0.969,0.971,1.0,0.857,1.0,1.0,0.979,0.982,0.952,0.967
RTA,0.976,1.0,0.889,0.969,0.944,1.0,0.75,1.0,1.0,0.979,0.974,0.93,0.951
FTA,0.976,1.0,0.906,0.969,0.958,1.0,0.8,1.0,1.0,0.979,0.978,0.941,0.959
