,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,9.0,303.0,22.0,48.0,193.0,116.0,75.0,88.0,526.0,31.0,187.0,1064.0,240.0,42.0,210.286
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.984,0.802,0.975,0.989,0.932,1.0,0.509,0.48,0.818,0.574,0.888,0.837,0.922,0.949,0.833
PA,0.991,0.104,0.833,0.674,0.61,0.66,0.26,0.646,0.471,0.894,0.666,0.555,0.879,0.669,0.637
FGA,0.824,0.831,0.93,0.879,0.935,0.974,0.325,0.628,0.81,0.852,0.822,0.824,0.716,0.894,0.803
PTA,0.778,0.366,0.591,0.729,0.518,0.543,0.16,0.466,0.348,0.903,0.471,0.387,0.583,0.476,0.523
RTA,0.875,0.451,0.619,0.593,0.526,0.543,0.286,0.837,0.434,0.933,0.509,0.449,0.538,0.465,0.576
FTA,0.824,0.404,0.605,0.654,0.522,0.543,0.205,0.599,0.386,0.918,0.489,0.416,0.56,0.471,0.543
