,0,1,2,3,4,5,6,7,8,9,10,11,12
Dataset,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,73.0,7.0,24.0,32.0,35.0,2.0,23.0,81.0,6.0,47.0,223.0,41.0,49.5
ground_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,87.0,6.0,47.0,228.0,43.0,51.917
GA,0.838,1.0,0.999,1.0,0.713,1.0,0.993,0.964,1.0,1.0,0.969,0.965,0.953
PA,0.279,0.854,0.998,0.878,0.713,0.0,0.993,0.334,0.0,0.982,0.312,0.936,0.607
FGA,0.854,1.0,0.902,1.0,0.958,1.0,0.936,0.917,1.0,1.0,0.962,0.905,0.953
PTA,0.397,0.286,0.875,0.844,0.971,0.0,0.957,0.432,0.167,0.872,0.516,0.707,0.585
RTA,0.345,0.286,0.778,0.844,0.944,0.0,0.917,0.402,0.167,0.872,0.504,0.674,0.561
FTA,0.369,0.286,0.824,0.844,0.958,0.0,0.936,0.417,0.167,0.872,0.51,0.69,0.573
