,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,11.0,227.0,24.0,42.0,191.0,103.0,33.0,78.0,397.0,31.0,342.0,921.0,231.0,40.0,190.786
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.716,0.75,0.968,0.983,0.906,0.612,0.705,0.282,0.626,0.679,0.723,0.731,0.883,0.909,0.748
PA,0.682,0.035,0.345,0.627,0.18,0.147,0.021,0.023,0.069,0.367,0.503,0.232,0.723,0.443,0.314
FGA,0.526,0.82,0.8,0.752,0.892,0.667,0.747,0.457,0.759,0.82,0.505,0.731,0.672,0.819,0.712
PTA,0.182,0.101,0.167,0.405,0.314,0.087,0.061,0.051,0.103,0.29,0.149,0.105,0.394,0.3,0.194
RTA,0.25,0.093,0.19,0.288,0.316,0.078,0.048,0.082,0.097,0.3,0.295,0.106,0.35,0.279,0.198
FTA,0.211,0.097,0.178,0.337,0.315,0.082,0.053,0.063,0.1,0.295,0.198,0.105,0.371,0.289,0.192
