,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,7.0,172.0,19.0,40.0,178.0,94.0,32.0,65.0,337.0,31.0,182.0,839.0,212.0,39.0,160.5
ground_templates,8.0,246.0,21.0,59.0,190.0,116.0,42.0,49.0,422.0,30.0,173.0,918.0,260.0,43.0,184.071
GA,0.28,0.72,0.36,0.98,0.865,0.944,0.366,0.296,0.531,0.264,0.411,0.251,0.854,0.697,0.558
PA,0.0,0.027,0.129,0.117,0.444,0.482,0.043,0.383,0.116,0.161,0.169,0.056,0.663,0.0,0.199
FGA,0.4,0.665,0.65,0.707,0.755,0.743,0.459,0.281,0.64,0.59,0.631,0.607,0.564,0.78,0.605
PTA,0.0,0.145,0.263,0.2,0.135,0.319,0.156,0.092,0.11,0.194,0.038,0.077,0.184,0.026,0.138
RTA,0.0,0.102,0.238,0.136,0.126,0.259,0.119,0.122,0.088,0.2,0.04,0.071,0.15,0.023,0.12
FTA,0.0,0.12,0.25,0.162,0.13,0.286,0.135,0.105,0.097,0.197,0.039,0.074,0.165,0.024,0.127
