,0,1,2,3,4,5,6,7,8,9,10,11,12
Dataset,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,83.0,6.0,47.0,222.0,43.0,51.083
ground_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,87.0,6.0,47.0,228.0,43.0,51.917
GA,1.0,1.0,1.0,0.998,1.0,1.0,1.0,0.962,1.0,1.0,0.941,1.0,0.992
PA,0.645,1.0,1.0,0.998,1.0,1.0,1.0,0.962,1.0,1.0,0.941,1.0,0.962
FGA,1.0,1.0,1.0,0.969,1.0,1.0,1.0,0.953,1.0,1.0,0.982,1.0,0.992
PTA,0.738,1.0,1.0,0.969,1.0,1.0,1.0,0.976,1.0,1.0,0.995,1.0,0.973
RTA,0.738,1.0,1.0,0.969,1.0,1.0,1.0,0.931,1.0,1.0,0.969,1.0,0.967
FTA,0.738,1.0,1.0,0.969,1.0,1.0,1.0,0.953,1.0,1.0,0.982,1.0,0.97
