,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,89.0,2.0,8.0,25.0,15.0,47.0,9.0,134.0,4.0,23.0,185.0,39.0,4.0,41.786
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,1.0,0.685,1.0,1.0,0.942,1.0,0.285,0.753,0.834,0.598,0.888,0.816,0.95,1.0,0.839
PA,1.0,0.072,0.756,0.822,0.674,0.662,0.095,0.863,0.503,0.598,0.666,0.484,0.91,0.749,0.632
FGA,1.0,0.426,1.0,1.0,0.833,1.0,0.118,0.625,0.571,0.571,0.87,0.595,0.732,1.0,0.739
PTA,1.0,0.101,0.5,0.875,0.56,0.667,0.021,0.667,0.231,0.5,0.609,0.335,0.538,0.75,0.525
RTA,1.0,0.273,0.5,0.875,0.609,0.667,0.25,0.857,0.5,0.667,0.609,0.5,0.656,0.75,0.622
FTA,1.0,0.148,0.5,0.875,0.583,0.667,0.039,0.75,0.316,0.571,0.609,0.401,0.592,0.75,0.557
