,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,30.0,4.0,24.214
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.825,1.0,0.987
PA,1.0,0.692,0.0,0.75,0.294,0.919,0.286,0.857,0.339,1.0,0.317,0.589,0.438,0.4,0.563
FGA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.806,1.0,0.986
PTA,1.0,0.667,0.0,0.75,0.304,0.8,0.5,0.857,0.339,1.0,0.304,0.589,0.533,0.25,0.564
RTA,1.0,0.667,0.0,0.75,0.304,0.8,0.5,0.857,0.339,1.0,0.304,0.589,0.5,0.25,0.561
FTA,1.0,0.667,0.0,0.75,0.304,0.8,0.5,0.857,0.339,1.0,0.304,0.589,0.516,0.25,0.563
