,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,40.0,2.0,8.0,24.0,11.0,8.0,9.0,73.0,4.0,26.0,149.0,41.0,4.0,28.571
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,1.0,0.65,1.0,1.0,0.925,0.622,0.285,0.753,0.679,0.598,0.72,0.69,0.917,1.0,0.774
PA,1.0,0.028,0.0,0.822,0.18,0.17,0.0,0.687,0.085,0.197,0.503,0.206,0.77,0.498,0.368
FGA,1.0,0.603,1.0,1.0,0.766,0.615,0.5,0.625,0.667,0.571,0.571,0.549,0.603,1.0,0.719
PTA,1.0,0.05,0.0,0.875,0.208,0.273,0.0,0.556,0.096,0.25,0.346,0.087,0.268,0.5,0.322
RTA,1.0,0.061,0.0,0.875,0.217,0.2,0.0,0.714,0.113,0.333,0.391,0.105,0.344,0.5,0.347
FTA,1.0,0.055,0.0,0.875,0.213,0.231,0.0,0.625,0.104,0.286,0.367,0.095,0.301,0.5,0.332
