,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,31.0,3.0,8.0,24.0,15.0,7.0,9.0,63.0,7.0,24.0,136.0,38.0,4.0,26.429
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,0.0,0.643,0.0,1.0,0.855,0.979,0.19,0.753,0.557,0.0,0.411,0.299,0.845,1.0,0.538
PA,0.0,0.018,0.02,0.4,0.491,0.517,0.0,0.855,0.184,0.003,0.17,0.05,0.646,0.0,0.24
FGA,0.0,0.469,0.0,1.0,0.681,0.867,0.364,0.625,0.624,0.0,0.553,0.369,0.486,1.0,0.503
PTA,0.0,0.129,0.333,0.375,0.25,0.467,0.0,0.556,0.222,0.143,0.125,0.103,0.105,0.0,0.201
RTA,0.0,0.121,0.5,0.375,0.261,0.467,0.0,0.714,0.226,0.333,0.13,0.113,0.125,0.0,0.24
FTA,0.0,0.125,0.4,0.375,0.255,0.467,0.0,0.625,0.224,0.2,0.128,0.108,0.114,0.0,0.216
