,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,27.0,2.0,6.0,23.0,14.0,4.0,7.0,56.0,2.0,23.0,119.0,31.0,4.0,22.786
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,0.0,0.641,0.5,0.583,0.882,0.838,1.0,0.286,0.629,0.333,0.902,0.774,0.9,0.8,0.648
PA,0.0,0.205,0.0,0.0,0.0,0.649,0.286,0.0,0.048,0.0,0.0,0.218,0.062,0.0,0.105
FGA,0.0,0.733,0.5,0.571,0.87,0.759,1.0,0.286,0.661,0.4,0.87,0.79,0.857,0.75,0.646
PTA,0.0,0.222,0.0,0.0,0.0,0.571,0.5,0.0,0.054,0.0,0.0,0.227,0.097,0.0,0.119
RTA,0.0,0.182,0.0,0.0,0.0,0.533,0.5,0.0,0.048,0.0,0.0,0.218,0.094,0.0,0.112
FTA,0.0,0.2,0.0,0.0,0.0,0.552,0.5,0.0,0.051,0.0,0.0,0.222,0.095,0.0,0.116
