,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,1.0,1199.0,4575.0,8.0,17097.0,7183.0,358.0,15.0,218.0,9.0,2917424.0,190377.0,62402.0,4.0,228633.571
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,1.0,0.567,0.0,1.0,0.516,0.885,0.285,0.679,0.689,0.197,0.549,0.396,0.855,1.0,0.616
PA,1.0,0.004,0.735,0.822,0.046,0.578,0.095,0.863,0.438,0.197,0.404,0.202,0.847,0.749,0.499
FGA,1.0,0.018,0.0,1.0,0.0,0.003,0.017,0.364,0.336,0.167,0.0,0.0,0.0,1.0,0.279
PTA,1.0,0.002,0.0,0.875,0.0,0.001,0.003,0.4,0.124,0.111,0.0,0.0,0.0,0.75,0.233
RTA,1.0,0.061,0.5,0.875,0.087,0.4,0.25,0.857,0.435,0.333,0.13,0.081,0.406,0.75,0.44
FTA,1.0,0.003,0.0,0.875,0.0,0.002,0.006,0.545,0.193,0.167,0.0,0.0,0.0,0.75,0.253
